Seconds
191
222
280
290
290
385
570
610
365
390
275
360
800
1210
407
50
660
1507
625
912
638
293
1212
612
675
1215
2715
3551
800
3910
6900
3300
1510
195
1956
135
661
50
729
900
180
4225
15600
0
0
300
9021
2519
6890
3348
2750
6675
6945
7899
