,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
1,IFR SB,None,nan,nan,nan,32497.075439637898,0.0,nan,nan
2,IFRGSB,None,-140.5215778972047,287.0431557944094,294.18923569843105,4946.555596460064,0.0,nan,nan
3,DW2,None,-140.55695788627148,285.11391577254295,289.8779690418907,4962.191735171081,0.0,nan,nan
4,DW3,None,-140.50716172710045,287.0143234542009,294.16040335822254,4951.309160808136,0.0,nan,nan
5,GM,None,nan,nan,nan,5411.554361035331,0.0,nan,nan
6,NB2,None,-140.7226405116518,285.4452810233036,290.20933429265136,4885.692729893747,0.0,nan,nan
