T,FC,E,F,C
1,1,2.0,0.0,0.0
2,1,1.0,0.0,0.0
3,1,2.0,0.0,0.0
4,1,1.0,0.0,0.0
5,1,1.3,0.0,0.0
6,1,1.2,0.0,0.0
7,1,1.1,0.0,0.0
8,1,1.4,0.0,0.0
9,1,1.8,0.0,0.0
10,1,1.6,0.0,0.0
11,1,2.2,0.0,0.0
12,1,1.7,0.0,0.0
13,1,2.0,0.0,0.0
14,1,2.3,0.0,0.0
15,1,2.9,0.0,0.0
16,1,2.1,0.0,0.0
